Date,WS,Site,Elev,pH,ANC,H4SiO4,Na+,K+,Ca2+,CaFLAG,Mg2+,Alt,Alm,Alo,NH4+,F-,Cl-,SO4=,NO3-,DIC,DOC,TN
1984-01-28,6,SFB,Oa,4.85,-999.99,-999.99,-999.99,-999.99,-999.99,N,-999.99,-999.99,39.60,-999.99,-999.99,-999.99,36.70,47.10,1.40,-999.99,-999.99,-999.99
1984-01-28,6,SFB,Bh,5.48,-999.99,-999.99,-999.99,-999.99,-999.99,N,-999.99,-999.99,8.90,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99
1984-01-28,6,HH,Oa,4.53,-999.99,41.90,18.00,33.50,15.70,N,9.60,-999.99,32.90,15.90,-999.99,0.90,17.50,45.20,51.30,-999.99,-999.99,-999.99
1984-01-28,6,HH,Bh,4.53,-999.99,47.40,21.40,6.10,7.00,N,4.90,11.60,30.00,8.90,-999.99,0.80,16.40,45.90,4.00,-999.99,-999.99,-999.99
1984-01-28,6,HH,Bs,4.50,-999.99,53.90,28.30,4.40,7.10,N,3.10,-999.99,34.80,9.30,-999.99,1.00,22.70,52.10,1.00,-999.99,-999.99,-999.99
1984-01-28,6,LH,Oa,3.37,-999.99,-999.99,-999.99,-999.99,-999.99,N,-999.99,-999.99,13.30,-999.99,-999.99,-999.99,-999.99,46.20,10.60,-999.99,-999.99,-999.99
1984-01-28,6,LH,Bs,6.26,-999.99,73.70,47.50,2.80,40.30,N,54.40,5.70,2.60,3.00,-999.99,-999.99,36.40,54.60,2.30,-999.99,-999.99,-999.99
1984-02-24,6,SFB,Bs,4.72,-999.99,83.20,25.70,5.10,18.00,N,11.80,-999.99,-999.99,-999.99,0.30,1.10,15.20,65.30,0.00,-999.99,767.00,-999.99
1984-02-24,6,HH,Oa,4.64,-999.99,22.80,13.70,31.90,28.90,N,25.50,-999.99,32.90,15.90,5.30,0.90,12.30,33.30,92.50,-999.99,-999.99,-999.99
1984-02-24,6,HH,Bh,4.68,-999.99,54.90,30.90,6.00,21.40,N,15.40,13.20,30.00,8.90,1.60,1.60,18.80,53.00,22.40,-999.99,511.00,-999.99
1984-02-24,6,HH,Bs,4.66,-999.99,59.50,27.60,3.20,14.90,N,9.80,-999.99,34.80,9.30,0.50,1.10,16.10,58.00,2.20,-999.99,148.00,-999.99
1984-02-24,6,LH,Oa,4.40,-999.99,23.60,17.80,39.10,39.20,N,29.80,-999.99,13.30,-999.99,40.70,0.70,14.50,37.50,66.50,-999.99,1754.00,-999.99
1984-02-24,6,LH,Bs,6.64,-999.99,-999.99,60.90,-999.99,60.90,N,34.40,8.50,1.10,-999.99,31.40,-999.99,28.50,50.30,7.20,-999.99,-999.99,-999.99
