Date,WS,Elev,Hor,pH,ANC,H4SiO4,Na+,K+,Ca2+,CaFLAG,Mg2+,Alt,Alm,Alo,NH4+,F-,Cl-,SO4=,NO3-,DIC,DOC,TN
12/11/96,1,1,Bs,4.75,-999.99,23.4,17.6,3,6.4,N,2.8,15.6,20.2,1.9,20,0.6,22.1,35.4,17.2,120,294,52.5
12/11/96,1,1,Oa,4.72,-999.99,22.4,20,6.2,6.4,N,3,16.5,15,3,10.2,0.6,22.9,33.3,13.3,109,223,30.9
12/11/96,1,2,Bs,3.81,-999.99,57.3,27.2,10.8,10,N,11.9,11.4,17.1,12.7,30,0.7,24.2,51.9,14.1,216,1408,74.1
12/11/96,1,2,Oa,3.66,-999.99,58.5,25.7,14,10,N,12.2,15.7,18.4,13.2,31.6,1.1,36.2,72,27,242,1345,86
12/11/96,1,3,Bh,4.57,-999.99,49.8,27.2,3.1,7.1,N,6,24.8,27.9,4.3,15.5,1,32.9,46.3,18.2,157,315,45.1
12/11/96,1,3,Bs,4.57,-999.99,51.6,27.9,2.2,6.4,N,5.7,25.5,27.7,3.8,21.1,1.1,32.7,45.9,18.9,188,272,45.8
12/11/96,1,3,Oa,4.3,-999.99,49,26.9,5,7.8,N,6.5,26.5,27.7,5.4,8.1,0.9,31.2,45,36.8,247,339,56.2
12/11/96,1,4,Bh,4.51,-999.99,93.7,37,9.1,35.7,N,11.8,25.6,25.6,8.6,15.3,0.9,22.1,32.9,110.9,139,509,135.8
12/11/96,1,4,Bs,4.58,-999.99,80.7,29.9,5.1,24.7,N,6.9,26.2,25.6,8.8,17.3,1,19.7,35.2,56.3,129,530,85.2
12/11/96,1,4,Oa,4.38,-999.99,91.3,33.6,6.7,28.3,N,8.1,27,27.3,9.6,15.7,1.1,23.4,31.8,97,171,691,137.3
12/11/96,1,5,Bh,4.45,-999.99,58.7,29.9,7.9,23.9,N,8,15.7,18.4,6.1,0.4,1.7,21.6,45.3,29,146,420,48.8
12/11/96,1,5,Bs,4.57,-999.99,58.5,28.7,3.2,19.5,N,6.3,15,17.6,5.6,0.4,2,19.9,45.4,5.8,155,488,32.4
12/11/96,1,5,Oa,4.64,-999.99,57.9,29.6,3.6,21,N,6.4,15.8,18.1,5.6,0.6,1.7,22.5,46.1,7.5,110,387,30.2
12/11/96,1,6,Bh,4.86,-999.99,69,29.4,1.7,18.1,N,5.3,12.7,15.4,3.2,7.7,1.8,23.8,42.7,2.3,198,359,35
12/11/96,1,6,Bs,4.87,-999.99,69.9,29.3,1.9,17.3,N,5.3,13.7,16.2,3.4,0.8,1.9,24.2,42.9,2.5,136,312,28
12/11/96,1,6,Oa,4.81,-999.99,70.4,28.8,3.1,18.8,N,5.5,13.4,15.3,3.8,2,1.8,24.2,42.5,4.1,153,397,42.1
12/11/96,1,7,Bh,5.08,-999.99,72.9,33.2,3.4,28.3,N,8.4,9.7,10.9,5.6,1.9,1.8,24.6,39.7,1.7,240,396,20.5
12/11/96,1,7,Bs,5.21,-999.99,76.2,33.8,1.6,29.1,N,9,6,7.1,3.6,0.4,1.8,25.7,42,2,219,264,15.3
12/11/96,1,7,Oa,5.15,-999.99,76.7,35.3,11.7,32,N,9.3,8.2,9,7.1,19,1.8,27.2,40.9,2.8,201,521,36.1
1/6/97,1,1,Bs,4.81,-999.99,-999.99,22,2.7,4.9,N,1.6,17.2,-999.99,-999.99,0.2,-999.99,18.1,35.2,13.4,92,-999.99,-999.99
1/6/97,1,1,Oa,4.75,-999.99,21.9,22,3.2,6.4,N,1.9,16.6,17.5,2.2,16.7,0.6,16.4,36.2,27.1,93,158,46.2
1/6/97,1,2,Bs,3.91,-999.99,43.4,21.8,8.7,7.8,N,8,16.1,14.3,12,12.5,0.6,12.6,40.7,11.2,190,1785,44.7
1/6/97,1,2,Oa,4.02,-999.99,58.1,23.2,16.5,13,N,10,20.9,19.7,17.7,39.4,0.9,14.8,46.7,5.3,255,2175,68.1
1/6/97,1,3,Bh,4.61,-999.99,48.1,27.8,2,5.6,N,4.7,26.8,28.9,3.5,7,1.1,22.5,48,11.4,278,321,29.3
1/6/97,1,3,Bs,4.66,-999.99,48.1,27.8,2,5.6,N,4.2,24.5,29,3.3,14.2,1.1,22.2,46.5,16.1,319,256,33.7
1/6/97,1,3,Oa,4.53,-999.99,45.8,27.3,1.4,4.9,N,4.2,24.1,25.3,3.7,2.9,1,22.6,47.7,9.3,257,249,15.4
1/6/97,1,4,Bh,4.6,-999.99,31.7,24.3,5.2,31.3,N,8.3,21.8,21.1,7.2,2.7,0.8,11.9,35.3,66,168,453,78.4
1/6/97,1,4,Bs,4.65,-999.99,32.8,22.7,5.8,29.1,N,7.4,23.4,23.3,8.2,5.4,0.9,11.1,33.8,55.2,165,515,65.9
1/6/97,1,4,Oa,3.93,-999.99,15.4,17.9,15.9,17.3,N,4.7,6.2,9.2,8.5,1.7,0.4,9.8,33.2,75.9,160,1163,99.6
